first_name,last_name,email,phone,address,gender,age,registered,orders,spent,job,hobbies,is_married
Joseph,Rice,josephrice131@slingacademy.com,+1-800-040-3135x6208,"91773 Miller Shoal
Diaztown, FL 38841",male,43,2019-05-05,7,568.29,Artist,Playing sports,False
Gary,Moore,garymoore386@slingacademy.com,221.945.4191x8872,"6450 John Lodge
Territon, KY 95945",male,71,2020-05-20,11,568.92,Artist,Swimming,True
John,Walker,johnwalker944@slingacademy.com,388-142-4883x5370,"27265 Murray Island
Kevinfort, PA 63231",male,44,2020-04-04,11,497.12,Clerk,Painting,False
Eric,Carter,ericcarter176@slingacademy.com,(451)259-5402,"USNS Knight
FPO AA 76532",male,38,2019-01-30,17,834.6,Butcher,Playing musical instruments,False
William,Jackson,williamjackson427@slingacademy.com,625.626.9133x374,"170 Jackson Loaf
Kristenland, AS 48876",male,58,2022-07-01,14,151.59,Engineer,Reading,False
Nicole,Jones,nicolejones228@slingacademy.com,1783534757,"14354 Baker Harbor Apt. 017
Ericville, HI 11192",female,33,2021-08-07,19,33.17,Unemployed,Running,True
David,Davis,daviddavis980@slingacademy.com,067.435.8553x692,"021 Katherine Mall
Jameston, DC 24685",male,59,2022-06-16,9,970.96,Doctor,Playing sports,False
Jason,Montgomery,jasonmontgomery889@slingacademy.com,001-208-220-1519,"14657 Scott Loop Apt. 735
Port Ashley, NH 34470",male,58,2021-11-13,12,676.2,Waitress,Collecting,False
Kent,Weaver,kentweaver695@slingacademy.com,(000)101-6979x011,"6644 Mitchell Burg
Victorhaven, KS 66356",male,61,2023-06-11,1,674.37,Clerk,Hiking,False
Darrell,Dillon,darrelldillon573@slingacademy.com,(156)423-0600x52870,"PSC 7267, Box 9911
APO AE 49343",male,50,2022-09-13,12,750.72,Dentist,Watching movies,False
Jacqueline,Wang,jacquelinewang322@slingacademy.com,691-557-6502,"16963 Stewart Curve Suite 279
South Cameron, ND 25136",female,22,2023-02-08,12,962.47,Housewife,Collecting,False
Jodi,Gonzalez,jodigonzalez185@slingacademy.com,137.205.7066,"378 Johnson Oval
South Stacie, RI 76332",female,69,2021-06-25,12,68.67,Baker,Photography,False
Omar,Martin,omarmartin769@slingacademy.com,0199081228,"Unit 9103 Box 4771
DPO AA 16592",male,28,2023-05-28,3,162.58,Doctor,Gardening,True
Nicole,Lara,nicolelara473@slingacademy.com,160-139-7065,"9822 Lisa Courts
Johnhaven, IL 80438",female,77,2023-03-03,17,309.81,Janitor,Hiking,True
Jason,Brown,jasonbrown753@slingacademy.com,+1-449-094-1105x03038,"7310 Romero Summit
East Scotttown, DC 53183",male,63,2022-12-05,13,763.27,Lawyer,Fishing,True
David,Benson,davidbenson257@slingacademy.com,3037692300,"444 Derek Summit
Lisaborough, WA 20685",male,61,2022-04-15,17,111.11,Lawyer,Meditation,True
Kimberly,Mora,kimberlymora513@slingacademy.com,0178967409,"7679 Perry Square
West Amybury, RI 15144",female,34,2019-05-19,10,208.46,Farmer,Collecting,False
Erik,Macias,erikmacias904@slingacademy.com,135-367-2526x9925,"568 Christopher Tunnel
Toddburgh, DE 86966",male,25,2020-04-18,8,439.53,Accountant,Fishing,False
James,Johnson,jamesjohnson681@slingacademy.com,(303)790-8926,"19870 Sean Parkway
North Jamesfurt, NC 28950",male,67,2019-02-17,5,394.95,Security Guard,Watching movies,False
Derek,Peterson,derekpeterson324@slingacademy.com,(864)569-7197,"70830 Jonathan Pine
Wilcoxburgh, MI 38265",male,36,2020-12-15,2,153.8,Architect,Photography,True
Diane,Henson,dianehenson438@slingacademy.com,(844)855-9308,"86382 Baker Ports Apt. 074
Cookfurt, NM 54313",female,74,2020-03-21,19,62.52,Butcher,Playing musical instruments,False
Cody,Lyons,codylyons721@slingacademy.com,271-660-8219,"60971 Carrillo Square Suite 141
New Kimberlybury, AS 02128",male,47,2019-11-25,14,43.17,Baker,Hunting,False
Margaret,Hardy,margarethardy249@slingacademy.com,434.970.8362x0269,"2900 Sandra Villages Apt. 985
Phillipsstad, NH 19830",female,25,2021-07-17,9,455.27,Barber,Other,False
Arthur,Hayes,arthurhayes881@slingacademy.com,883.635.3065x5605,"353 Elizabeth Forest
Deannachester, NM 66952",male,75,2021-04-01,6,749.78,Chef,Sewing,False
Raymond,Taylor,raymondtaylor702@slingacademy.com,001-481-600-8572x422,"07867 John Mills Apt. 985
Tinaville, ID 59142",male,36,2021-09-24,6,125.18,Butcher,Playing musical instruments,False
Tina,Moore,tinamoore476@slingacademy.com,0644007929,"50984 Shelly Pass
Port Nicholas, SC 48629",female,34,2020-07-15,17,888.53,Chef,Running,False
Kylie,White,kyliewhite170@slingacademy.com,+1-218-827-4151x1327,"5004 Christine Falls Suite 217
Jasonburgh, NJ 75688",female,63,2020-02-03,6,872.18,Janitor,Reading,True
Jonathan,Manning,jonathanmanning648@slingacademy.com,563.533.7683x324,"1501 Gregory Glens Suite 940
Stephensstad, GU 55206",male,30,2022-01-21,0,178.54,Librarian,Playing sports,False
Angela,Bryant,angelabryant256@slingacademy.com,265.101.5569x1098,"01454 Christopher Turnpike
North Ryanstad, MI 36226",female,23,2019-09-11,3,525.2,Politician,Cycling,False
Michael,Mann,michaelmann973@slingacademy.com,881.909.7778,"93144 Martinez Turnpike
East Maryhaven, MD 06798",male,56,2019-08-12,8,12.12,Nurse,Watching movies,False
Craig,Myers,craigmyers395@slingacademy.com,570.096.8289,"248 Koch Harbor
Jonathanhaven, AL 29645",male,42,2020-10-16,3,716.53,Lawyer,Cooking,False
Tiffany,Carter,tiffanycarter997@slingacademy.com,+1-882-869-0402,"PSC 9395, Box 0886
APO AE 29897",female,26,2021-07-11,12,967.96,Receptionist,Meditation,False
Erica,Owens,ericaowens827@slingacademy.com,9679991464,"PSC 3509, Box 5359
APO AP 47664",female,22,2022-01-12,7,183.63,Butcher,Collecting,False
Patricia,Parker,patriciaparker125@slingacademy.com,505.913.8048,"69076 James Lights
Jeremyton, ID 40460",female,28,2022-12-07,17,174.16,Doctor,Yoga,True
